Model,NodeFeat,Heuristic,Test_Loss
GraphSAGE,adjacency,PPR,3.4317621611990035e-05
GraphSAGE,adjacency,PPR,3.431761433603242e-05
GraphSAGE,adjacency,PPR,3.4317621611990035e-05
GraphSAGE,original,PPR,2.360611870244611e-05
GraphSAGE,original,PPR,2.7696492907125503e-05
GraphSAGE,one-hot,PPR,2.5603711037547328e-05
GraphSAGE,one-hot,PPR,2.560383109084796e-05
GraphSAGE,random,PPR,6.68345601297915e-05
GraphSAGE,random,PPR,6.53988536214456e-05
GraphSAGE,adjacency,PPR,6.94919508532621e-05
GraphSAGE,original,PPR,2.009984564210754e-05
GraphSAGE,one-hot,PPR,4.719897697214037e-05
GraphSAGE,random,PPR,4.3665466364473104e-05
GraphSAGE,adjacency,PPR,6.94919508532621e-05
GraphSAGE,original,PPR,2.009984564210754e-05
GraphSAGE,one-hot,PPR,4.719897697214037e-05
GraphSAGE,random,PPR,4.3665466364473104e-05
GraphSAGE,adjacency,PPR,3.5759523598244414e-05
GraphSAGE,original,PPR,2.7654668883769773e-05
GraphSAGE,one-hot,PPR,2.5005154384416528e-05
GraphSAGE,random,PPR,4.9636266339803115e-05
GraphSAGE,adjacency,PPR,4.468650513445027e-05
GraphSAGE,original,PPR,9.986467193812132e-05
GraphSAGE,one-hot,PPR,2.7844049327541143e-05
GraphSAGE,random,PPR,3.433267556829378e-05
GraphSAGE,adjacency,PPR,4.196074223727919e-05
GraphSAGE,original,PPR,1.9066712411586195e-05
GraphSAGE,one-hot,PPR,2.8090173145756125e-05
GraphSAGE,random,PPR,7.188603194663301e-05
GraphSAGE,identity,PPR,2.6638052077032626e-05
GraphSAGE,identity,PPR,4.206953599350527e-05
GraphSAGE,identity,PPR,3.406602263567038e-05
GraphSAGE,identity,PPR,2.7499660063767806e-05
GraphSAGE,identity,PPR,2.6638052077032626e-05
GraphSAGE,identity,PPR,3.869905776809901e-05
GraphSAGE,identity,PPR,3.348223981447518e-05
GraphSAGE,identity,PPR,3.150977136101574e-05
GraphSAGE,identity,PPR,3.17802514473442e-05
GraphSAGE,identity,PPR,2.9848999474779703e-05
GraphSAGE,identity,PPR,3.2008047128329054e-05
GraphSAGE,identity,PPR,2.9849292332073674e-05
